;'Proc. Orig';'Placa';'Chassi';'Marca/Modelo';'Classificação';'Ano';'Despesas (GAD)';'Recolhimento com multa (elimina isenção)';'Origem';'Ano de Entrada';'Data Entrada';'Data Saída';'Tempo em depósito (dias)';'Diárias limitadas a 183 dias';' Valor da taxa da diária ';' Valor total diárias ';' Valor da Taxa de remoção ';' Valor total da GAD ';' Valor CRD (somente Diárias) ';' Valor Devido da GAD (Detran) ';'Tempo Depósito (anos)';'Valor FIPE';'Peso (Kg)';'Valor Kg X 40% (devido ao DETRAN)';' Valor Casco p/ Veículo ';'Classificação';'Valor total da GAD +  Valor Casco p/Veículo';' Valor Total Devido pelo CRD  '
16;2005016120;'IDU4782';'9BD146000K3523732';'FIAT/UNO S';'veículos em geral';1989;'0-Sem isenção';;'1-Base Estadual';;23/2/2005;4/9/2019;5306;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';14;4.341,00;800;;' 4.341,00 ';'FIPE';' 9.938,58 ';' 6.423,15 '
17;2005026602;'BFT9200';'9C64AN000M0001523';'YAMAHA/DT 200';'Motocicletas';1991;'0-Sem isenção';;'2-Base Nacional (BIN)';;31/3/2005;4/9/2019;5270;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';14;1.887,00;80;;' 1.887,00 ';'FIPE';' 6.364,69 ';' 3.553,81 '
18;2005043881;'IBH7472';'LB8AAB43197';'FORD/DEL REY';'veículos em geral';1982;'0-Sem isenção';;'1-Base Estadual';;23/5/2005;4/9/2019;5217;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';14;2.483,89;800;;' 2.483,89 ';'FIPE';' 8.081,47 ';' 4.566,04 '
19;2005053066;'LXC0556';'CG125BR1184704';'HONDA/CG 125';'Motocicletas';1982;'0-Sem isenção';;'2-Base Nacional (BIN)';;13/6/2005;4/9/2019;5196;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';14;1.976,56;80;;' 1.976,56 ';'FIPE';' 6.454,25 ';' 3.643,37 '
20;2005067039;'IDV3910';'BA306305';'VW/BRASILIA';'veículos em geral';1976;'0-Sem isenção';;'1-Base Estadual';;17/7/2005;4/9/2019;5162;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';14;1.274,93;800;;' 1.274,93 ';'FIPE';' 6.872,51 ';' 3.357,08 '
21;2005075030;'BGC6643';'9BD146000M3755879';'FIAT/UNO CS 1.5';'veículos em geral';1991;'0-Sem isenção';;'2-Base Nacional (BIN)';;6/8/2005;4/9/2019;5142;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';14;4.914,00;800;;' 4.914,00 ';'FIPE';' 10.511,58 ';' 6.996,15 '
22;2005093563;'IIP2430';255138;'FIAT/147 L';'veículos em geral';1979;'0-Sem isenção';;'1-Base Estadual';;25/9/2005;4/9/2019;5092;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';13;1.779,55;800;;' 1.779,55 ';'FIPE';' 7.377,13 ';' 3.861,70 '
23;2006047023;'IBZ9151';'4A33GG1WRPE081691';'IMP/MMC GALANT GS';'veículos em geral';;'0-Sem isenção';;'4-Irregular - Alterado';;28/5/2006;4/9/2019;4847;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';'IRREG';;800;0,124;' 99,20 ';'MI';' 5.696,78 ';' 2.181,35 '
24;2006081206;'MBF0196';'9BGSC19Z01C112050';'GM/CORSA WIND';'veículos em geral';2001;'7-Liberação (Veículo Furtado / Roubado)';;'1-Base Estadual';;9/8/2006;4/9/2019;4774;0;' 29,04 ';' -   ';' -   ';' -   ';' -   ';' -   ';13;;800;0,124;' 99,20 ';'MI';' 99,20 ';' 99,20 '
25;2007113715;'IJI5681';'CG1251098553';'HONDA';'Motocicletas';1980;'0-Sem isenção';;'1-Base Estadual';;15/9/2007;4/9/2019;4372;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';11;1.719,10;80;;' 1.719,10 ';'FIPE';' 6.196,79 ';' 3.385,91 '
